feature,score,rank,selected
Fwd Pkt Len Max,0.7223999573382381,1,True
Subflow Fwd Byts,0.7216434211845228,2,True
TotLen Fwd Pkts,0.7211960985000336,3,True
Fwd Pkt Len Std,0.7171954489412854,4,True
Fwd Seg Size Avg,0.7167858220183773,5,True
Fwd Pkt Len Mean,0.7166825935338955,6,True
Init Bwd Win Byts,0.7021755964445312,7,True
Init Fwd Win Byts,0.6933937581868099,8,True
Dst Port,0.6909761826089528,9,True
Fwd Header Len,0.6791534679138086,10,True
Bwd Pkt Len Max,0.6656933475308102,11,True
Bwd Pkt Len Std,0.6651347347097418,12,True
Subflow Bwd Byts,0.6651228754687564,13,True
TotLen Bwd Pkts,0.664871677540899,14,True
Bwd Pkt Len Mean,0.6635289071496779,15,True
Bwd Seg Size Avg,0.6634713319050357,16,True
Bwd IAT Min,0.662745714222009,17,True
Subflow Fwd Pkts,0.6619096484620258,18,False
Tot Fwd Pkts,0.6617981817047546,19,False
Bwd Pkts/s,0.6380696899273861,20,False
Fwd IAT Mean,0.6280686066830042,21,False
Flow IAT Mean,0.6276268495026371,22,False
Flow Pkts/s,0.627228649687386,23,False
Flow IAT Std,0.6257475053675735,24,False
Pkt Len Var,0.6240876396668149,25,False
Fwd Pkts/s,0.6239444644043621,26,False
Pkt Len Std,0.6236306174068205,27,False
Fwd IAT Std,0.6228955136608839,28,False
Fwd IAT Max,0.6226255323320949,29,False
Fwd IAT Tot,0.6214631223499063,30,False
Flow IAT Max,0.6202800749431908,31,False
Pkt Size Avg,0.6191297923106378,32,False
Flow Duration,0.6185275671345488,33,False
Pkt Len Mean,0.6173048258618249,34,False
Flow Byts/s,0.6147213133456791,35,False
Bwd Header Len,0.6091470857789212,36,False
Tot Bwd Pkts,0.6024173279064688,37,False
Subflow Bwd Pkts,0.6018988052300764,38,False
Bwd IAT Mean,0.5666612481923319,39,False
Bwd IAT Std,0.5533799554020262,40,False
Bwd IAT Max,0.5519006555971258,41,False
Bwd IAT Tot,0.5465911674970583,42,False
Fwd Act Data Pkts,0.5425732427676,43,False
Pkt Len Max,0.5393938875917081,44,False
Fwd IAT Min,0.5244971279904826,45,False
Flow IAT Min,0.4654004139343715,46,False
Idle Mean,0.09878550383041196,47,False
Idle Max,0.09839322308479925,48,False
Idle Min,0.09823200455403014,49,False
Fwd Seg Size Min,0.0890640839054091,50,False
ACK Flag Cnt,0.08803742250662405,51,False
PSH Flag Cnt,0.05567766175059541,52,False
Protocol,0.04092802789278416,53,False
Down/Up Ratio,0.013674331778747328,54,False
Active Min,0.004425459081520033,55,False
Active Mean,0.003991284749349289,56,False
Active Max,0.0029030868479045235,57,False
URG Flag Cnt,0.0015651996396697232,58,False
Fwd Pkt Len Min,0.0015221661422613053,59,False
RST Flag Cnt,0.0014940995030918724,60,False
Fwd PSH Flags,0.001230246559603243,61,False
Bwd Pkt Len Min,0.0008689836822062258,62,False
Idle Std,0.0004229934936594848,63,False
Active Std,6.423626826723705e-05,64,False
Pkt Len Min,0.0,65,False
FIN Flag Cnt,0.0,66,False
SYN Flag Cnt,0.0,67,False
ECE Flag Cnt,0.0,68,False
