feature,score,rank,selected
Subflow Fwd Byts,0.7220818792159368,1,False
Fwd Pkt Len Max,0.7216602044214782,2,True
TotLen Fwd Pkts,0.7209209527062144,3,True
Fwd Pkt Len Std,0.7170657356655802,4,True
Fwd Seg Size Avg,0.7170205482105689,5,False
Fwd Pkt Len Mean,0.7163036354651525,6,True
Init Bwd Win Byts,0.7017656476912999,7,False
Init Fwd Win Byts,0.6934546435823474,8,False
Dst Port,0.6909668341342906,9,True
Fwd Header Len,0.6785157575375613,10,False
Bwd Pkt Len Max,0.6656676173354459,11,True
Bwd Pkt Len Std,0.6651577431926322,12,False
Subflow Bwd Byts,0.6650946994960606,13,False
TotLen Bwd Pkts,0.664989282833995,14,True
Bwd Pkt Len Mean,0.6635280752878546,15,True
Bwd Seg Size Avg,0.6635234196208737,16,False
Bwd IAT Min,0.6625858135379502,17,False
Tot Fwd Pkts,0.6614591306467319,18,True
Subflow Fwd Pkts,0.6613170434902211,19,False
Bwd Pkts/s,0.638163751440475,20,False
Fwd IAT Mean,0.6279922936553903,21,False
Flow IAT Mean,0.6276272393466666,22,True
Flow Pkts/s,0.6272055935331319,23,True
Flow IAT Std,0.6256130824866347,24,False
Fwd Pkts/s,0.6239051878420184,25,False
Pkt Len Std,0.6237514305940279,26,False
Pkt Len Var,0.6237428008720224,27,False
Fwd IAT Std,0.6228035596222502,28,False
Fwd IAT Max,0.6225903335272253,29,False
Fwd IAT Tot,0.6213999940025963,30,False
Flow IAT Max,0.6202406876003043,31,False
Pkt Size Avg,0.6191485929757179,32,False
Flow Duration,0.6184602763098578,33,True
Pkt Len Mean,0.6172495127874839,34,True
Flow Byts/s,0.6149332406519028,35,True
Bwd Header Len,0.6095216036547835,36,False
Subflow Bwd Pkts,0.6020451454586164,37,False
Tot Bwd Pkts,0.6017300016543343,38,True
Bwd IAT Mean,0.5666307668358199,39,False
Bwd IAT Std,0.5534773638525432,40,False
Bwd IAT Max,0.5519481343988053,41,False
Bwd IAT Tot,0.5465876278129191,42,False
Fwd Act Data Pkts,0.5436143175154027,43,False
Pkt Len Max,0.5394528674098527,44,False
Fwd IAT Min,0.5243366754266825,45,False
Flow IAT Min,0.46445528767856414,46,False
Idle Min,0.09979443470466753,47,False
Idle Max,0.09814446142733169,48,False
Idle Mean,0.0977212249774051,49,False
Fwd Seg Size Min,0.08708427343543579,50,False
ACK Flag Cnt,0.08675212456340309,51,True
PSH Flag Cnt,0.05702748955166048,52,False
Protocol,0.040951567534319055,53,False
Down/Up Ratio,0.014451558416031629,54,False
Active Mean,0.004478225712407857,55,False
Active Min,0.00362903922784108,56,False
Active Max,0.003282435833191988,57,False
URG Flag Cnt,0.0017876520445465616,58,False
Idle Std,0.000993961321704706,59,False
Pkt Len Min,0.0007162922688963569,60,False
ECE Flag Cnt,0.0002570621663950945,61,False
FIN Flag Cnt,0.00022562314899610136,62,False
Fwd Pkt Len Min,0.0,63,False
Bwd Pkt Len Min,0.0,64,False
Fwd PSH Flags,0.0,65,False
SYN Flag Cnt,0.0,66,True
RST Flag Cnt,0.0,67,False
Active Std,0.0,68,False
